词典条目: 7343
源表已收: 350（跳过 146）
新候选（4字+）: 194
新候选（3字）: 0

============================================================
=== 4字及以上新候选（194 条）===
============================================================
[062] 意气扬扬  | ctx: ...。其夫为相御，拥大盖，策驷马，意气扬扬甚自得也。既而归，其妻请去。夫...
[092] 愚者千虑，必有一得  | ctx: ...曰：“臣闻智者千虑，必有一失；愚者千虑，必有一得。故曰‘狂夫之言，圣人择焉’。...
[060] 战战兢兢  | ctx: ...服，不及以政。’於戏！悉尔心，战战兢兢，乃惠乃顺，毋侗好轶，毋迩宵人...
[081] 执法不阿  | ctx: ...与下。 ## 赵奢  ### 执法不阿  [19] 赵奢者，赵之田部...
[041] 折节下士  | ctx: ...欲当。 种诱以利，蠡悉其良。 折节下士，致胆思尝。 卒复雠寇，遂殄大...
[127] 捧腹大笑  | ctx: ...行之汙？”  [5] 司马季主捧腹大笑曰：“观大夫类有道术者，今何言...
[092] 敌国破，谋臣亡  | ctx: ...兔死，良狗亨；高鸟尽，良弓藏；敌国破，谋臣亡。’天下已定，我固当亨！” 上...
[047] 斐然成章  | ctx: ...：“归乎归乎！吾党之小子狂简，斐然成章，吾不知所以裁之。” 子赣知孔...
[030] 斗鸡走狗  | ctx: ...7] 所忠言：“世家子弟富人或斗鸡走狗马，弋猎博戏，乱齐民。” 乃徵...
[031] 施而不费  | ctx: ...乐而不荒，用而不匮，广而不宣，施而不费，取而不贪，处而不厎，行而不流...
[086] 旁若无人  | ctx: ...而歌於市中，相乐也，已而相泣，旁若无人者。荆轲虽游於酒人乎，然其为人...
[047] 无可无不可  | ctx: ...中清，废中权”。“我则异於是，无可无不可。”  ## 作春秋  [32...
[129] 无所不至  | ctx: ...师史尤甚，转毂以百数，贾郡国，无所不至。洛阳街居在齐秦楚赵之中，贫人...
[055] 无立锥之地  | ctx: ...，侵伐诸侯社稷，灭六国之後，使无立锥之地。陛下诚能复立六国後世，毕已受...
[007] 日行千里  | ctx: ...。吾骑此马五岁，所当无敌，尝一日行千里，不忍杀之，以赐公。”  [1...
