词	出现次数	实体类型
兵先	5	
吕泽	5	地名=
军食	5	
侯遗	5	
侯坚	5	
圉侯	5	官职$
豨反	5	
侯奴	5	
侯越	5	族群~
侯客	5	
侯彭	5	
侯种	5	
乐昌	5	
后弟	5	
楚功	5	
绝和	5	
孙贺	5	
龙镪	5	
杨敞	5	
平恩	5	
欲传	5	
刘嘉	5	
相位	5	
力田	5	
兵屯	5	
洋洋	5	
诈伪	5	
次序	5	
功成	5	
承祖	5	
侏儒	5	
足怪	5	
边民	5	
同类	5	
消息	5	
显诸	5	
乱臣	5	
反逆	5	
可举	5	
覆军	5	
好事	5	
润泽	5	地名=
俯仰	5	
符瑞	5	
沃野	5	地名=
累巨	5	
通西	5	
谄谀	5	
求利	5	
交易	5	
荡荡	5	
熙熙	5	
尝事	5	
私通	5	
次弟	5	
欲许	5	
闭门	5	
持兵	5	
揖让	5	
决狱	5	
伏甲	5	
罢酒	5	
醇酒	5	
逆天	5	
臣可	5	
兵侵	5	
发国	5	
持满	5	
尊室	5	
先事	5	
间道	5	
右臂	5	
劲兵	5	
苦身	5	
发书	5	
借兵	5	
祸必	5	
敝国	5	
注意	5	
主家	5	
发愤	5	
等家	5	
足恃	5	
霸天	5	
后欲	5	
国阴	5	
中兵	5	
皇太	5	
充後	5	
兵反	5	
争功	5	
城野	5	地名=
家僮	5	
结宾	5	
独可	5	
坟墓	5	
独柰	5	
纵反	5	
绛勃	5	
呕血	5	
罍樽	5	
患害	5	
通经	5	
独王	5	
好气	5	
縲绁	5	
事情	5	
尝食	5	
明约	5	
右手	5	
鸱夷	5	族群~
仲弓	5	
相率	5	
事相	5	官职$
发吏	5	
发明	5	
馆舍	5	
河漳	5	
朋党	5	
公家	5	
明诏	5	
收诸	5	
辐凑	5	
兵可	5	
休士	5	
私家	5	
好客	5	
形容	5	
王跽	5	
寒心	5	
范叔	5	
好书	5	
帝业	5	
昌国	5	
乐臣	5	
狱中	5	
足道	5	
彊力	5	
先主	5	
髡钳	5	
乞骸	5	
奉职	5	
臣饮	5	
怀诈	5	
阴脉	5	
诊病	5	
避席	5	
病主	5	
络脉	5	
中热	5	
溲血	5	
迵风	5	
主藏	5	
气通	5	
陂池	5	地名=
军屯	5	
外臣	5	
馀级	5	
後发	5	
游侠	5	
文巧	5	
巧诋	5	
主意	5	
爪牙	5	
督盗	5	
土著	5	
陛楯	5	
巫妪	5	
相侵	4	
振兵	4	
山通	4	
顺天	4	
幽明	4	
水火	4	
浩浩	4	
山林	4	
悲哀	4	
凶慝	4	
相事	4	
民各	4	
致功	4	
践帝	4	
绅先	4	
让天	4	
可亲	4	
海滨	4	
孳孳	4	
辅成	4	
元首	4	
王率	4	
诸弟	4	
唯天	4	
