章节	类型	实体	说明	上下文
117_司马相如列传	unknown_bio	麋	标注了〖+麋〗但不在词表内	弥山，揜〖+兔〗辚〖+鹿〗，射〖+麋〗脚〖+麟〗。鹜於〖=盐浦〗，割
117_司马相如列传	unknown_bio	麟	标注了〖+麟〗但不在词表内	+兔〗辚〖+鹿〗，射〖+麋〗脚〖+麟〗。鹜於〖=盐浦〗，割鲜染轮。射
117_司马相如列传	unknown_bio	蕙圃	标注了〖+蕙圃〗但不在词表内	〗玄厉，萩石**武夫。其东则有〖+蕙圃〗〖+衡兰〗，〖+芷〗〖+若〗〖
117_司马相如列传	unknown_bio	衡兰	标注了〖+衡兰〗但不在词表内	石**武夫。其东则有〖+蕙圃〗〖+衡兰〗，〖+芷〗〖+若〗〖+射干〗，
117_司马相如列传	unknown_bio	芷	标注了〖+芷〗但不在词表内	其东则有〖+蕙圃〗〖+衡兰〗，〖+芷〗〖+若〗〖+射干〗，〖+穹穷〗
117_司马相如列传	unknown_bio	若	标注了〖+若〗但不在词表内	〖+蕙圃〗〖+衡兰〗，〖+芷〗〖+若〗〖+射干〗，〖+穹穷〗〖+昌蒲
117_司马相如列传	unknown_bio	射干	标注了〖+射干〗但不在词表内	〗〖+衡兰〗，〖+芷〗〖+若〗〖+射干〗，〖+穹穷〗〖+昌蒲〗，〖+江
117_司马相如列传	unknown_bio	穹穷	标注了〖+穹穷〗但不在词表内	，〖+芷〗〖+若〗〖+射干〗，〖+穹穷〗〖+昌蒲〗，〖+江离〗〖+麋芜
117_司马相如列传	unknown_bio	昌蒲	标注了〖+昌蒲〗但不在词表内	〖+若〗〖+射干〗，〖+穹穷〗〖+昌蒲〗，〖+江离〗〖+麋芜〗，〖+诸
117_司马相如列传	unknown_bio	江离	标注了〖+江离〗但不在词表内	射干〗，〖+穹穷〗〖+昌蒲〗，〖+江离〗〖+麋芜〗，〖+诸蔗〗〖+猼且
117_司马相如列传	unknown_bio	麋芜	标注了〖+麋芜〗但不在词表内	+穹穷〗〖+昌蒲〗，〖+江离〗〖+麋芜〗，〖+诸蔗〗〖+猼且〗。其南则
117_司马相如列传	unknown_bio	诸蔗	标注了〖+诸蔗〗但不在词表内	昌蒲〗，〖+江离〗〖+麋芜〗，〖+诸蔗〗〖+猼且〗。其南则有平原广泽，
117_司马相如列传	unknown_bio	猼且	标注了〖+猼且〗但不在词表内	+江离〗〖+麋芜〗，〖+诸蔗〗〖+猼且〗。其南则有平原广泽，登降纮靡，
117_司马相如列传	unknown_bio	葴	标注了〖+葴〗但不在词表内	缘以大江，限以巫山。其高燥则生〖+葴〗〖+蓇〗〖+苞荔〗，〖+薛〗〖
117_司马相如列传	unknown_bio	蓇	标注了〖+蓇〗但不在词表内	，限以巫山。其高燥则生〖+葴〗〖+蓇〗〖+苞荔〗，〖+薛〗〖+莎〗〖
117_司马相如列传	unknown_bio	苞荔	标注了〖+苞荔〗但不在词表内	山。其高燥则生〖+葴〗〖+蓇〗〖+苞荔〗，〖+薛〗〖+莎〗〖+青薠〗。
117_司马相如列传	unknown_bio	薛	标注了〖+薛〗但不在词表内	生〖+葴〗〖+蓇〗〖+苞荔〗，〖+薛〗〖+莎〗〖+青薠〗。其卑湿则生
117_司马相如列传	unknown_bio	莎	标注了〖+莎〗但不在词表内	〗〖+蓇〗〖+苞荔〗，〖+薛〗〖+莎〗〖+青薠〗。其卑湿则生〖+藏莨
